11/01/2024 11:21:33,Frankfurt am Main,Leipzig ; Germany,Train,Train,
11/01/2024 12:42:41,Frankfurt am Main,Frankfurt am Main ; Germany,Muscule-powered,Feet,
11/01/2024 12:42:47,Frankfurt am Main,Kaiserslautern ; Germany,Train,Train,
11/01/2024 13:08:41,Bournemouth,London ; England,Regional train,Regional train,I also used city buses to go from my hotel to the local garden during the conference.
11/01/2024 13:47:16,Dundee,Stirling ; United Kingdom,Train,Same as I came!,"I also attended some sessions online, due to travel restrictions (bad weather)."
11/01/2024 14:47:54,Genova,Verona ; Italy,Train,Train,
11/01/2024 14:48:27,Caen,Marseille ; France,Train,Train,
11/01/2024 14:49:29,Genova,Verona ; Italy,Train,Train,
11/01/2024 14:51:27,Gent,Amsterdam ; Netherlands,Train,Train,
11/01/2024 14:51:42,Caen,Marseille ; France,Train,Same as I came!,
11/01/2024 14:52:23,Nijmegen,Nijmegen ; Netherlands,Other,Bike,
11/01/2024 14:56:11,Havana,Havana ; Cuba,I attended online,I attended online,It was an excellent event
11/01/2024 14:58:03,Santiago,Santiago ; Chile,Train,Same as I came!,"I went from home to Uni, via metro, same as always. "
11/01/2024 14:58:32,Gent,Brussels ; Belgium,Train,Train,
11/01/2024 14:59:55,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,City bus,
11/01/2024 15:02:21,San Sebastian,Barcelona ; Spain,I attended online,Plane,I actually flew to Bilbao a couple of days before the congress started and then took a bus from Bilbao to San Sebastian
11/01/2024 15:04:11,Nijmegen,Oldenburg ; Germany,Train,Train,
11/01/2024 15:06:07,Gent,Nijmegen ; Netherlands,Train,Train,"I attended both the Nijmegen and the Ghent gardens, as I was an invited speaker for both. I only had to travel to the Ghent one, which I did by train. "
11/01/2024 15:08:08,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,Same as I came!,
11/01/2024 15:11:50,Montréal,Montreal ; Canada,City bus / Intercity coach,City bus,
11/01/2024 15:12:03,Montréal,Toronto ; Canada,Car,Car,
11/01/2024 15:12:48,I only attended online,,I attended online,I attended online,
11/01/2024 15:18:20,Havana,Havana ; Cuba,I attended online,City bus,
11/01/2024 15:36:07,Nijmegen,Netherlands ; Nijmegen,Muscule-powered,Same as I came!,
11/01/2024 15:41:52,London,London ; UK ,Muscule-powered,Bike,"London 1 day, rest online"
11/01/2024 15:52:37,Nijmegen,Nijmegen ; The Netherlands,Train,Train,
11/01/2024 16:01:41,Münster,Muenster ; Germany ,Muscule-powered,Bike,
11/01/2024 16:05:23,Talca,Talca ; Chile,I attended online,Same as I came!,The organization was excellent. Thanks for everything.
11/01/2024 16:37:26,I only attended online,Nottingham ; UK,I attended online,I attended online,
11/01/2024 16:40:20,Havana,Havana ; Cuba,City bus / Intercity coach,City bus,"very good experience, for more as this"
11/01/2024 16:40:36,Nijmegen,Nijmegen ; the Netherlands,Muscule-powered,Same as I came!,
11/01/2024 16:51:17,I only attended online,,I attended online,I attended online,
11/01/2024 16:59:01,Genova,Milan ; Italy,Train,Train,
11/01/2024 16:59:08,I only attended online,Paris ; France,I attended online,I attended online,
11/01/2024 17:07:25,Genova,Rovereto ; Italy,Car,Car,
11/01/2024 17:33:19,I only attended online,Tampa ; USA,I attended online,I attended online,
11/01/2024 17:45:40,I only attended online,,I attended online,I attended online,I thought it was great! Thanks to the organizers.
11/01/2024 17:49:17,Talca,Talca ; Chile,Muscule-powered,Same as I came!,"The local garden took place in the same University campus where I work, so I just walked to the event place, but I reached the campus by car as usual."
11/01/2024 18:25:21,Lyon,Marseille ; France ,Car,Car,Covoiturage avec Christelle et AnneSo a l'aller et avec christelle et Anais au retour 
11/01/2024 18:31:36,Bournemouth,London ; UK,Train,Train,
11/01/2024 18:37:15,Talca,Talca ; Chile,Car,Car,
11/01/2024 18:43:50,Belgrade,Belgrade ; Serbia,Car,Same as I came!,
11/01/2024 20:12:56,Montréal,Montreal ; Canada,Muscule-powered,Feet,
